score_id,target,function,5 trees,10 trees
1,iris,F1Score,0.939839271839272,0.9261726051726052
2, ,Accuracy,0.94,0.9266666666666667
3,sonar,F1Score,0.7296549645833768,0.7422967722007692
4, ,Accuracy,0.7307692307692307,0.7451923076923077
5,glass,F1Score,0.4921136964652778,0.549392414826644
6, ,Accuracy,0.5327102803738318,0.5934579439252337
7,airfoil_self_noise,R2Score,0.510995646966501,0.5174317801095686
8, ,MeanSquared,22.986146888287607,22.698370844181532
9,winequality-red,R2Score,0.24594287001830342,0.26954945716274453
10, ,MeanSquared,0.48907855220964946,0.47488565629969887
11,winequality-white,R2Score,0.2785647422930814,0.2837653449129783
12, ,MeanSquared,0.564364606537363,0.5603457827324828
