score_id,target,function,gini,infogain,reg_entropy
1,iris,F1Score,0.4609888760476996,0.4609888760476996,
2, ,Accuracy,0.5666666666666667,0.5666666666666667,
3,sonar,F1Score,0.727573709611991,0.7365151954765538,
4, ,Accuracy,0.7307692307692308,0.7403846153846155,
5,glass,F1Score,0.23179122918590017,0.26271453402916617,
6, ,Accuracy,0.36915887850467294,0.39252336448598135,
7,airfoil_self_noise,R2Score,,,0.14059519133335832
8, ,MeanSquared,,,40.46501943024553
9,winequality-red,R2Score,,,0.17080392652761986
10, ,MeanSquared,,,0.5392367434731848
11,winequality-white,R2Score,,,0.14762229435113217
12, ,MeanSquared,,,0.6671356305463848
