score_id,target,function,3d DTree,5d DTree,7d DTree
1,iris,F1Score,0.9393433233433234,0.9407574647574648,0.9407574647574648
2, ,Accuracy,0.94,0.9400000000000001,0.9400000000000001
3,sonar,F1Score,0.7361255628670426,0.7857769068138902,0.7762926410796245
4, ,Accuracy,0.7403846153846154,0.783653846153846,0.7740384615384615
5,glass,F1Score,0.6338297503447529,0.6528158040115162,0.6845859903392394
6, ,Accuracy,0.6635514018691588,0.6588785046728972,0.6869158878504673
7,airfoil_self_noise,R2Score,0.4542288211458636,0.5947682416390958,0.7551466773634129
8, ,MeanSquared,25.647368345720388,19.05973160694029,11.594834950920045
9,winequality-red,R2Score,0.24916829941423482,0.2911089492309299,0.2579629519682113
10, ,MeanSquared,0.4861459116114334,0.45571299513891095,0.47057333942321505
11,winequality-white,R2Score,0.25674249863592824,0.2929050343479974,0.28504243401776486
12, ,MeanSquared,0.5814458579450339,0.5534088512641239,0.559104512940155
