score_id,target,function,reduce_same,reduce_0.5,critical
1,iris,F1Score,0.9407574647574648,0.9602837162837163,0.9531894771894772
2, ,Accuracy,0.9400000000000001,0.96,0.9533333333333334
3,sonar,F1Score,0.7857769068138902,0.7089413931028751,0.7260416920504298
4, ,Accuracy,0.783653846153846,0.7115384615384617,0.735576923076923
5,glass,F1Score,0.6488874893355379,0.5992327556127794,0.5528220754037019
6, ,Accuracy,0.6542056074766355,0.6214953271028038,0.602803738317757
7,airfoil_self_noise,R2Score,0.5947682416390958,0.584666058775821,0.46970762109354935
8, ,MeanSquared,19.05973160694029,19.485671061392853,24.98551124779214
9,winequality-red,R2Score,0.2911089492309299,0.2706446746374574,0.20066002361776955
10, ,MeanSquared,0.45571299513891095,0.4739700039360865,0.5190716540276691
11,winequality-white,R2Score,0.2929050343479974,0.26585002144247627,0.24111874954921797
12, ,MeanSquared,0.5534088512641239,0.573591365372414,0.5934373347204637
